region,fluggebiet,site_name,latitude,longitude,elevation_m,wind_N,wind_NE,wind_E,wind_SE,wind_S,wind_SW,wind_W,wind_NW,slope_azimuth,slope_angle,kritischer_foehn,terrain_type,analyse_region,bemerkungen_flug,bemerkung_flug_effekt,bemerkungen_sicherheit,bemerkung_sicherheit_effekt,bemerkungen_sonstiges
Berneroberland,Abendberg,Abendberg,46.6223,7.5222,1830,0,0,0,0,0,0,0,1,,,Süd,voralpen,Freiburger Voralpen,,,,,
Schwyz,Klingenstock,Achslen,46.9526,8.74906,1620,1,0,0,0,0,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Berneroberland,Allmenalp,Allmenalp (Kandersteg),46.4941,7.651,1758,0,1,1,0,1,0,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,"Grosse Startwiese, ca. 15-20 Minuten Fussweg von der Gondelstation/Restaurant."
Graubünden,Alp de la Creusch,Alp da la Creusch-2210,46.7049,9.64095,2210,0,0,0,0,0,1,0,0,,,Beide,hochalpin,Engadin Unter,,,,,
Graubünden,Alp Languard,Alp Languard-2550,46.4898,9.92603,2550,0,0,0,0,0,1,0,0,,,Beide,hochalpin,Engadin Ober,,,,,
Graubünden,Alp Languard,Alp Languard-2420,46.4917,9.92156,2420,0,0,0,0,0,1,0,0,,,Beide,hochalpin,Engadin Ober,,,,,
Graubünden,Alp Stätz,Alp Staetz-2130,46.7661,9.52428,2130,0,0,1,1,1,0,0,0,,,Beide,hochalpin,Engadin Unter,,,,,
Tessin,Alpe del Caviano,Alpe del Caviano,45.878,9.00856,1012,0,0,0,0,0,1,0,0,,,Nord,alpen,Tessin Zentral,,,,,
Zentralschweiz,Mettenen,Alpler Tor,46.8901,8.78297,2340,0,0,0,1,0,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Zentralschweiz,Schönbüel,Alpoglerberg-1840,46.8179,8.0971,1840,0,1,0,0,0,1,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Berneroberland,Allmenalp,Alpschelehubel,46.4867,7.64441,2248,1,0,0,0,0,0,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Berneroberland,Interlaken,Amisbuehl,46.7022,7.82306,1310,0,0,0,1,0,0,0,0,,,Beide,alpen,Berner Voralpen,,,,,
Zentralschweiz,Eggbergen,Eggberge (Flüelen),46.9037,8.65139,1580,0,0,0,0,0,0,0,1,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Zentralschweiz,Brüsti,Arni,46.7849,8.65461,1290,0,1,0,0,0,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Berneroberland,Engstligenalp,Artelengrat-2180,46.4477,7.57529,2180,0,0,0,0,0,0,1,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Berneroberland,Engstligenalp,Artelengrat-2100,46.4509,7.57204,2100,0,1,0,0,0,0,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Zentralschweiz,Arvialp,Arvialp,46.8905,8.32972,1800,0,0,0,0,0,0,0,1,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Berneroberland,Axalp Skiberg,Axalp,46.7165,8.03504,1590,0,0,0,0,0,0,0,1,,,Beide,alpen,Berner Voralpen,,,,,
Wallis,Bächigalen,Baechigalen,46.4882,8.22725,2440,0,0,0,1,0,0,0,0,,,Beide,hochalpin,Oberwallis / Goms,,,,,
Zentralschweiz,Beichlen,Beichlen-1750,46.8972,7.97209,1750,0,0,0,0,0,1,0,0,,,Süd,voralpen,Mittelland Zentral,,,,,
Zentralschweiz,Beichlen,Beichlen-1730,46.895,7.96944,1730,0,0,0,0,0,0,0,1,,,Süd,voralpen,Mittelland Zentral,,,,,
Wallis,Bellalui,Montana - Bella Lui,46.3444,7.48611,2510,0,1,1,1,1,1,1,1,,,Beide,hochalpin,Unterwallis,,,,,
Waadt,La Berneuse,Berneuse-2020,46.3592,7.00272,2020,0,0,1,0,1,0,1,0,,,Süd,alpen,Waadtländer Alpen,,,,,
Zentralschweiz,Ratzi,Biel-Raemsenberg-1620,46.8941,8.70826,1620,0,0,0,1,0,1,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Wallis,Laucheralp,Bietschhorn,46.3954,7.81374,2520,0,0,0,0,0,0,1,0,,,Beide,hochalpin,Zentralwallis,,,,,
Berneroberland,Oeschinen,Bire-2360,46.5123,7.69793,2360,1,0,0,0,0,0,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Ostschweiz,Bodenberg,Bodenberg,46.9739,9.02363,1240,0,0,0,1,0,0,0,0,,,Süd,voralpen,Glarnerland / Walensee,,,,,
Zentralschweiz,Bonistock,Bonistock,46.7777,8.29067,2160,1,1,0,0,0,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Bern,Bözingenberg,Boezingenberg-940 (Biel- Bienne),47.1745,7.2942,940,0,0,0,1,0,0,0,0,,,Süd,jura,Jura Zentral,,,,,
Graubünden,Jakobshorn,Braemabuehl,46.7799,9.84969,2490,1,1,0,0,0,0,0,1,,,Beide,alpen,Prättigau - Davos,,,,,
Zentralschweiz,Brändlen,Brändlen-1240,46.9051,8.4099,1240,0,0,0,0,0,0,0,1,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Ostschweiz,Braunwald,Braunwald 'Kiosk',46.9384,8.998,1245,0,0,0,1,0,0,0,0,,,Süd,voralpen,Glarnerland / Walensee,,,Bei starkem Talwind Rotorgefahr; alternativ Startplatz Gumengrat nutzen.,WETTER-TRIGGER: starker Talwind → Rotorgefahr am Start → betroffene Stunden caution bis no_go; Ausweich Gumengrat erwähnen.,"Startplatz nahe Seilbahnstation 'Braunwald', 2 Min. Fussweg."
Berneroberland,Interlaken,Schynige Platte -Kamel_Chrüterwand (Interlaken),46.6623,7.90117,1566,0,0,0,0,0,0,0,1,,,Beide,alpen,Berner Voralpen,,,Startplatz Chrüterwand sehr steil.,"STATISCH: Chrüterwand sehr steil → Startrisiko; caution, betrifft nur diesen Alternativstart.",Zwei Startplätze: Kamel (unter 10 Min. vom Bahnhof) und Chrüterwand (heute selten genutzt).
Berneroberland,Brienzer Rothorn,Brienzer Rothorn,46.7871,8.0463,2340,0,0,0,0,1,0,0,0,,,Beide,alpen,Berner Voralpen,,,"Steiler, schwieriger Startplatz - gute Technik erforderlich, erhöhtes Sturzrisiko.","STATISCH/ANSPRUCH: steiler, schwieriger Start mit Sturzrisiko → dauerhafte caution; für wenig Geübte abraten.",
Berneroberland,Brienzer Rothorn,Brienzer Rothorn-2260,46.7881,8.03584,2260,0,0,0,0,0,1,0,0,,,Beide,alpen,Berner Voralpen,,,,,
Graubünden,Weisshorn Winter,Arosa -Brueggerhorn,46.7934,9.65047,2420,0,0,1,1,1,0,0,0,,,Beide,alpen,Prättigau - Davos,,,Im Winter Lawinengefahr beachten.,"SAISON-GEFAHR: im Winter Lawinengefahr → Winternutzung nur mit Lagebeurteilung, caution bis no_go.","Extrem selten genutzt; im Winter nur mit Skiern zugänglich, im Sommer Hike&Fly oder Abstieg vom Weisshorn."
Zentralschweiz,Bruniswald,Bruniswald,46.8643,8.3967,1580,0,0,0,0,0,0,0,1,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Berneroberland,Wasserngrat,Bräschegrat,46.4419,7.33388,2100,0,0,0,0,0,1,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Zentralschweiz,Büelen,Büelen / Bueelen,46.8808,8.36551,1079,0,1,1,0,1,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Zentralschweiz,Buochser Horn,Buochserhorn,46.945,8.42901,1780,0,0,0,0,1,1,1,0,,,Süd,alpen,Zentralschweizer Voralpen,,,Kleines Kabel qürt das Feld unterhalb des Starts (gut sichtbar).,"STATISCH: Kabel quert unterhalb des Starts (gut sichtbar) → Hindernis-caution, kein Status-Downgrade.","Leichter, grosser Grasstartplatz am Gipfelkreuz. Geeignet bei Süd- bis Westwind."
Berneroberland,Interlaken,Burgfeldstand,46.7211,7.79507,2050,0,0,0,1,0,0,0,0,,,Beide,alpen,Berner Voralpen,,,,,
Solothurn,Grenchenberg Bützen,Buetzen,47.2227,7.38979,1300,0,0,0,1,0,0,0,0,,,Süd,jura,Jura Zentral,,,,,
Graubünden,Calandasiten,Calanda,46.8901,9.47395,2415,0,0,0,1,0,0,0,0,,,Beide,voralpen,Ostschweiz,,,,,
Graubünden,Cassons,Flims -Cassonsgrat,46.8797,9.26356,2664,0,0,0,0,1,1,0,0,,,Beide,hochalpin,Surselva,,,,,Nur zu Fuss erreichbar (Seilbahn abgebaut).
Schwyz,Fronalpstock / Stoos,Charenstoeckli,46.9735,8.64377,1780,0,1,0,0,0,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Bern,Chasseral Süd,Chasseral,47.1267,7.04694,1530,1,1,1,1,1,1,1,1,,,Süd,jura,Jura West,,,,,
Bern,Chaumont,Chaumont,47.0533,6.97805,1122,0,0,0,0,0,0,0,1,,,Süd,jura,Jura West,,,,,
Schwyz,Euthal,Chli Aubrig,47.1069,8.86022,1580,0,0,0,0,0,1,1,0,,,Süd,voralpen,Mittelland Zentral,,,,,"Steile Alpwiese (Ausrichtung Südwest), leichter bis mittlerer Schwierigkeitsgrad."
Berneroberland,Käserstatt,Chüemad,46.755,8.22722,1950,0,0,0,0,0,1,0,0,,,Beide,alpen,Berner Voralpen,,,,,
Tessin,Cimetta,Locarno- Cardada - Cimetta -1570,46.1996,8.78796,1619,0,0,0,0,1,1,0,0,,,Nord,alpen,Tessin Zentral,,,,,
Wallis,Col de Sorebois,Col de Sorebois (Zinal),46.1477,7.58683,2820,0,0,1,0,1,1,0,0,,,Beide,hochalpin,Mattertal / Saastal,,,,,
Graubünden,Corvatsch,Corvatsch (Silvaplana/ St.Moritz),46.416,9.8218,3300,1,1,0,0,0,0,0,0,,,Beide,hochalpin,Engadin Ober,Hochalpines Gelände mit anspruchsvollen Thermikbedingungen.,"Kein hartes Cap — Kontext: hochalpin-anspruchsvolle Thermik in thermal_quality einordnen; Rating nach Messwerten, Prosa entsprechend rauer.","Risiken durch Steinschlag, starke Winde und begrenzte Landemöglichkeiten.","STATISCH+WETTER: Steinschlag, starke Winde, begrenzte Landemöglichkeiten → hochalpine Dauer-caution; bei Windwarnungen strenger bewerten (safe_window enger).",
Wallis,Veysonnaz,Crete de Thyon-2060 (Veysonnaz),46.1797,7.36417,2060,0,0,0,0,0,0,1,0,,,Beide,hochalpin,Unterwallis,,,,,
Wallis,Veysonnaz,Crete de Thyon-2380,46.1707,7.36872,2380,0,1,0,0,0,0,1,0,,,Beide,hochalpin,Unterwallis,,,,,
Wallis,Aiguille de Champeys,Crete des Champeys,46.2038,6.84719,2040,0,0,0,1,0,0,0,1,,,Süd,alpen,Waadtländer Alpen,,,,,
Wallis,Croix de Coeur,Verbier - Croix de Coeur_Savolyeres,46.1214,7.23327,2166,0,0,0,1,1,1,0,0,,,Beide,hochalpin,Unterwallis,Croix de Coeur am besten am (späten) Nachmittag; Savolyeres am Morgen.,"Kein Rating-Abzug — best_window je Start: Croix de Coeur (später) Nachmittag, Savolyeres Morgen.",Flugplatz direkt hinter Croix de Coeur - Vorsicht im Landeanflug.,"STATISCH: Flugplatz direkt hinter dem Start → caution im Landeanflug, Flugverkehr beachten.",Croix de Coeur: Toplandung möglich. Savolyeres: grasiger Hang.
Wallis,Planachaux,Croix de Culet,46.1763,6.84037,1930,0,0,0,0,0,1,0,0,,,Süd,alpen,Waadtländer Alpen,,,,,
Wallis,Croix de L'Aiguille,Croix de l Aiguille,46.1962,6.86088,1813,0,0,1,0,1,0,0,0,,,Süd,alpen,Waadtländer Alpen,,,,,
Wallis,Cry d'Er,Montana - Cry d Er-2250,46.3367,7.47955,2250,0,0,0,1,0,0,0,0,,,Beide,hochalpin,Unterwallis,,,,,
Graubünden,Cugieri,Cungieri-1800,46.6891,8.77927,1800,0,0,1,0,1,0,0,0,,,Beide,hochalpin,Surselva,,,,,
Graubünden,Alp Darlux,Cuolm da Latsch-2270,46.6523,9.75447,2270,1,0,0,0,0,0,0,0,,,Beide,hochalpin,Engadin Unter,,,,,
Graubünden,Alp Darlux,Darlux-2020,46.6218,9.7721,2020,0,0,0,0,0,1,0,0,,,Beide,hochalpin,Engadin Unter,,,,,
Graubünden,Alp Darlux,Darlux-2150,46.623,9.77672,2150,0,0,0,0,0,1,0,0,,,Beide,hochalpin,Engadin Unter,,,,,
Graubünden,Alp Darlux,Darlux-2400,46.622,9.78386,2400,0,0,0,0,0,0,1,0,,,Beide,hochalpin,Engadin Unter,,,,,
Wallis,Chou ou Tsou,Dent de Fully,46.1749,7.11058,2700,0,0,0,0,0,1,0,0,,,Beide,hochalpin,Unterwallis,,,,,
Waadt,Jaman,Dent de Jaman (Rochers de Naye),46.4417,6.97593,1738,0,0,0,0,0,1,1,1,,,Süd,alpen,Waadtländer Alpen,,,,,
Wallis,Haute-Nendaz,Dent de Nendaz-2430,46.1549,7.29172,2430,0,0,0,1,0,1,0,0,,,Beide,hochalpin,Unterwallis,,,,,
Graubünden,Dreibündenstein,Dreibuendenstein-2120,46.8043,9.4989,2120,0,0,1,0,1,0,1,1,,,Beide,voralpen,Ostschweiz,,,,,
Wallis,Chou ou Tsou,Dugny,46.1877,7.18362,950,1,1,1,1,1,1,1,1,,,Beide,hochalpin,Unterwallis,,,,,
Ostschweiz,Pizol,Wangs -Duerrenwald,47.0104,9.42459,1300,0,1,0,0,0,0,0,0,,,Süd,voralpen,Ostschweiz,,,,,
Berneroberland,Wasserngrat,Därrischilt,46.459,7.32344,1840,0,0,0,0,0,0,0,1,,,Süd,voralpen,Freiburger Voralpen,,,,,
Ostschweiz,Durschlegi,Weesen- Amden -Durschlegi,47.147,9.11975,1110,0,0,0,1,0,0,0,0,,,Süd,voralpen,Glarnerland / Walensee,,,,,
Ostschweiz,Ebenalp,Ebenalp (Appenzell- Wasserauen),47.2842,9.41057,1598,1,1,1,1,0,0,0,1,,,Süd,alpen,Alpstein / Ostschweiz,,,,,"Verschiedene Startplätze: HG-Start direkt unter der Gondel; Süd-Start (47.2837N, 9.4133E); Nord-Start 3 Min. Fussweg von der Gondel."
Graubünden,Piz Ault,Egg,46.7757,8.72119,1430,0,0,0,0,0,1,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Berneroberland,Brienzer Rothorn,Eisee,46.7875,8.05351,2100,0,0,0,1,0,0,0,0,,,Beide,alpen,Berner Voralpen,,,,,
Berneroberland,Grimer,Elsighorn-2160,46.5313,7.64197,2160,0,0,1,0,1,0,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Berneroberland,Allmenalp,Elsighorn-2100,46.5263,7.63153,2100,0,0,0,0,0,1,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Berneroberland,Engstligenalp,Engstligenalp,46.4486,7.56423,1960,0,0,0,0,0,0,0,1,,,Süd,voralpen,Freiburger Voralpen,,,,,
Zentralschweiz,Bruniswald,Eschlen,46.8644,8.38621,1110,0,0,0,0,0,0,0,1,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Berneroberland,Waldspitz,Faulhorn,46.6747,7.99885,2680,0,0,0,1,0,1,1,0,,,Beide,alpen,Berner Voralpen,,,,,
Berneroberland,Allmenalp,First,46.5034,7.64122,2520,1,0,0,1,0,0,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Wallis,Ried,Brig- Rosswald -Fleschboden,46.3125,8.06047,2270,0,0,0,0,0,0,1,0,,,Beide,hochalpin,Oberwallis / Goms,,,,,
Berneroberland,Flöschhorn,Floeschhorn-2070 (Lenk),46.4631,7.40609,2070,1,0,0,0,0,0,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Schwyz,Hoch-Ybrig,Forstberg,47.0007,8.82388,2200,0,0,0,0,0,0,1,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Ostschweiz,Fronalp,Fronalp,47.0676,9.10409,1800,0,0,0,0,0,0,1,0,,,Süd,voralpen,Glarnerland / Walensee,,,,,
Schwyz,Fronalpstock / Stoos,Fronalpstock,46.965,8.63898,1883,0,0,0,0,0,0,1,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Graubünden,Alp Stätz,Fulhorn-2450,46.7742,9.49709,2450,0,0,1,0,1,1,0,0,,,Beide,hochalpin,Engadin Unter,,,,,
Zentralschweiz,Engelberg,Engelberg -Fuerenalp,46.8052,8.46575,1901,0,0,0,0,0,1,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Berneroberland,Galm,Galm,46.5449,7.51882,2020,0,0,0,0,0,0,1,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Berneroberland,Galm,Galmschibe,46.5454,7.52599,2320,0,0,0,0,0,1,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Zentralschweiz,Ratzi,Gamperstock,46.8987,8.74184,2270,0,0,0,0,0,0,1,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Wallis,Hockenhorngrat,Gandegg,46.4199,7.75927,2480,0,0,0,1,0,0,0,0,,,Beide,hochalpin,Zentralwallis,,,,,
Berneroberland,Rinderberg,Gandlouenegrat,46.5058,7.35656,2070,0,0,0,0,0,0,0,1,,,Süd,voralpen,Freiburger Voralpen,,,,,
Ostschweiz,Garmil,Garmil,47.004,9.40331,2000,0,1,0,0,0,0,1,0,,,Süd,voralpen,Glarnerland / Walensee,,,,,
Zentralschweiz,Marbachegg,Gärtle,46.8198,7.94223,1580,0,0,0,0,0,0,1,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Schwyz,Pfaff,Geissstock-1960,46.9279,8.82265,1960,1,0,0,1,0,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Zentralschweiz,Gemsstock,Gemsstock,46.6041,8.61159,2900,0,1,1,1,1,1,1,1,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Berneroberland,Hüttstett,Gibel-2030,46.7705,8.18948,2030,0,0,0,0,0,0,0,1,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Zentralschweiz,Ober Büelen,Gibel-1360,46.8324,8.21721,1360,0,0,0,0,0,0,0,1,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Zentralschweiz,Haldigrat,Giri,46.904,8.43154,1920,0,0,0,0,0,0,1,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Zentralschweiz,Ratzi,Gisleralp,46.8966,8.73063,1960,0,0,0,0,0,1,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Zentralschweiz,Gitschenberg,Gitschenberg,46.8774,8.59045,1360,0,0,1,0,1,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Graubünden,Gotschnagrat,Klosters - Gotschnagrat,46.8553,9.85057,2221,1,1,0,1,1,0,0,0,,,Beide,alpen,Prättigau - Davos,Nordstart bei mässigem Nordwind für dynamisches Fliegen und Toplandung geeignet.,Prosa-Aufwertung: bei mässigem Nordwind Soaring/Dynamik + Toplandung möglich → soaring_options füllen; hebt das Zahlen-Rating nicht (Soaring zählt als 1).,Seilbahnkabel in der Nähe.,STATISCH: Seilbahnkabel in der Nähe → Hindernis-caution.,"Beide Startplätze von der Gondel erreichbar: Süd (2300 m, ca. 7 Min., leicht), Nord (2280 m, ca. 3 Min.)."
Ostschweiz,Studnerberg,Grabserberg,47.1661,9.42168,1100,0,1,0,0,0,0,0,0,,,Beide,voralpen,Ostschweiz,,,,,
Bern,Graitery,Graitery,47.2564,7.37522,1188,1,0,0,0,0,0,0,0,,,Süd,jura,Jura Zentral,,,,,
Graubünden,Somtgant,Grap Neir-2260,46.6285,9.61563,2260,0,0,0,0,0,0,1,0,,,Beide,hochalpin,Engadin Unter,,,,,
Graubünden,Somtgant,Grap Neir-2430,46.6302,9.61831,2430,0,0,0,0,0,0,1,0,,,Beide,hochalpin,Engadin Unter,,,,,
Graubünden,Crap Sogn Gion,Flims- Laax - Crap Sogn Gion,46.835,9.21591,2210,0,0,0,1,0,1,0,0,,,Beide,hochalpin,Surselva,,,Seilbahnen und Personen in Startplatznähe beachten.,STATISCH: Seilbahnen und Personen in Startplatznähe → caution beim Start.,"Startplatz direkt neben der Seilbahnstation, einfacher Zugang."
Wallis,Greicheralp,Riederalp/ Greicheralp,46.377,8.0309,1880,0,0,0,1,1,0,0,0,,,Beide,hochalpin,Oberwallis / Goms,,,,,"Startwiese mit Windsack, wenige Minuten von der Seilbahn-Bergstation. Hausthermik links vom Start hinter dem letzten Seilbahnmast."
Bern,Grenchenberg Nord,Grenchenberg Nord,47.2295,7.37988,1340,0,0,0,0,0,0,0,1,,,Süd,jura,Jura Zentral,,,,,
Zentralschweiz,Farneren,Grosse Chrinne,46.8982,8.0469,1830,0,0,0,0,0,0,0,1,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Zentralschweiz,Beichlen,Gsteig-1520,46.9147,7.99392,1520,0,0,0,1,0,0,0,0,,,Süd,voralpen,Mittelland Zentral,,,,,
Zentralschweiz,Beichlen,Gsteig-1450,46.9169,7.9946,1450,0,0,0,0,0,0,0,1,,,Süd,voralpen,Mittelland Zentral,,,,,
Berneroberland,Interlaken,Güggisgrat,46.7144,7.78391,1927,1,0,0,0,0,0,0,1,,,Beide,alpen,Berner Voralpen,,,,,
Ostschweiz,Braunwald,Gumengrat,46.9603,8.98743,2020,0,0,0,0,1,0,0,0,,,Süd,voralpen,Glarnerland / Walensee,,,,,"Steile Startwiese, Windsack vorhanden."
Zentralschweiz,Wirzweli,Gummen,46.9019,8.36259,1580,0,0,0,1,0,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Graubünden,Gürgaletsch,Guergaletsch -2400,46.7983,9.58253,2400,0,1,0,0,0,0,0,0,,,Beide,alpen,Prättigau - Davos,,,,,
Zentralschweiz,Gurschenalp,Gurschen,46.6169,8.59688,2280,1,0,0,0,0,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Zentralschweiz,Gütsch,Gütsch / Nätschen,46.6473,8.61036,2080,0,0,0,0,0,1,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,Mehrere Startplätze verfügbar.
Zentralschweiz,Haldi,Haldi,46.8626,8.67276,1080,0,0,0,0,0,1,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Zentralschweiz,Haldigrat,Dalenwil - Haldigrat,46.9017,8.44265,1965,0,0,0,0,0,1,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Schwyz,Halsegg,Halsegg,47.0913,8.6069,1330,0,0,0,1,0,0,0,0,,,Süd,voralpen,Mittelland Zentral,,,,,
Wallis,Seetalhorn,Hannig Alp,46.1135,7.91398,2300,0,0,0,1,0,0,0,0,,,Beide,hochalpin,Mattertal / Saastal,,,,,"Start auf 2350 m (Osthang), direkt links der Seilbahn auf der Strasse startbar; flache Strasse gut zum Vorbereiten. Im Winter sind Skier nicht erlaubt."
Solothurn,Hasenmatt Startplatz,Hasenmatt,47.2412,7.44986,1445,0,0,0,1,0,0,0,0,,,Süd,jura,Jura Zentral,,,,,
